LAT,LON,YEAR,MO,DY,T2M
-21.34449,55.47301,2000,8,4,   21.33
-21.34449,55.47301,2000,8,5,   20.95
-21.34449,55.47301,2000,8,6,   21.36
-21.34449,55.47301,2000,8,7,   21.25
-21.34449,55.47301,2000,8,8,   21.22
-21.34449,55.47301,2000,8,9,   21.06
-21.34449,55.47301,2000,8,10,   20.36
-21.34449,55.47301,2000,8,11,   19.95
-21.34449,55.47301,2000,8,12,   20.19
-21.34449,55.47301,2000,8,13,   20.92
-21.34449,55.47301,2000,8,14,   21.94
-21.34449,55.47301,2000,8,15,   21.55
-21.34449,55.47301,2000,8,16,   21.12
-21.34449,55.47301,2000,8,17,   20.82
-21.34449,55.47301,2000,8,18,   20.80
-21.34449,55.47301,2000,8,19,   21.33
-21.34449,55.47301,2000,8,20,   20.91
-21.34449,55.47301,2000,8,21,   20.80
-21.34449,55.47301,2000,8,22,   21.00
-21.34449,55.47301,2000,8,23,   20.72
-21.34449,55.47301,2000,8,24,   20.44
-21.34449,55.47301,2000,8,25,   20.68
-21.34449,55.47301,2000,8,26,   20.60
-21.34449,55.47301,2000,8,27,   20.82
-21.34449,55.47301,2000,8,28,   21.04
-21.34449,55.47301,2000,8,29,   21.31
-21.34449,55.47301,2000,8,30,   21.19
-21.34449,55.47301,2000,8,31,   21.71
-21.34449,55.47301,2000,9,1,   21.93
-21.34449,55.47301,2000,9,2,   21.33
-21.34449,55.47301,2000,9,3,   21.64
-21.34449,55.47301,2000,9,4,   21.49
-21.34449,55.47301,2000,9,5,   21.70
-21.34449,55.47301,2000,9,6,   21.53
-21.34449,55.47301,2000,9,7,   21.45
-21.34449,55.47301,2000,9,8,   21.45
-21.34449,55.47301,2000,9,9,   20.66
-21.34449,55.47301,2000,9,10,   19.83
-21.34449,55.47301,2000,9,11,   20.61
-21.34449,55.47301,2000,9,12,   21.08
-21.34449,55.47301,2000,9,13,   21.26
-21.34449,55.47301,2000,9,14,   21.50
-21.34449,55.47301,2000,9,15,   21.56
-21.34449,55.47301,2000,9,16,   21.11
-21.34449,55.47301,2000,9,17,   19.85
-21.34449,55.47301,2000,9,18,   20.15
-21.34449,55.47301,2000,9,19,   20.61
-21.34449,55.47301,2000,9,20,   20.89
-21.34449,55.47301,2000,9,21,   21.09
-21.34449,55.47301,2000,9,22,   21.08
-21.34449,55.47301,2000,9,23,   21.28
-21.34449,55.47301,2000,9,24,   20.78
-21.34449,55.47301,2000,9,25,   20.78
-21.34449,55.47301,2000,9,26,   20.57
-21.34449,55.47301,2000,9,27,   21.41
-21.34449,55.47301,2000,9,28,   21.66
-21.34449,55.47301,2000,9,29,   21.78
-21.34449,55.47301,2000,9,30,   21.75
-21.34449,55.47301,2000,10,1,   21.45
-21.34449,55.47301,2000,10,2,   21.63
-21.34449,55.47301,2000,10,3,   21.70
-21.34449,55.47301,2000,10,4,   21.90
-21.34449,55.47301,2000,10,5,   21.75
-21.34449,55.47301,2000,10,6,   22.09
-21.34449,55.47301,2000,10,7,   21.81
-21.34449,55.47301,2000,10,8,   21.90
-21.34449,55.47301,2000,10,9,   21.96
-21.34449,55.47301,2000,10,10,   22.08
-21.34449,55.47301,2000,10,11,   22.55
-21.34449,55.47301,2000,10,12,   22.34
-21.34449,55.47301,2000,10,13,   21.98
-21.34449,55.47301,2000,10,14,   21.21
-21.34449,55.47301,2000,10,15,   21.17
-21.34449,55.47301,2000,10,16,   21.82
-21.34449,55.47301,2000,10,17,   20.67
-21.34449,55.47301,2000,10,18,   20.68
-21.34449,55.47301,2000,10,19,   21.72
-21.34449,55.47301,2000,10,20,   22.14
-21.34449,55.47301,2000,10,21,   22.91
-21.34449,55.47301,2000,10,22,   23.10
-21.34449,55.47301,2000,10,23,   23.39
-21.34449,55.47301,2000,10,24,   23.62
-21.34449,55.47301,2000,10,25,   23.44
-21.34449,55.47301,2000,10,26,   22.98
-21.34449,55.47301,2000,10,27,   22.38
-21.34449,55.47301,2000,10,28,   22.58
-21.34449,55.47301,2000,10,29,   23.41
-21.34449,55.47301,2000,10,30,   23.49
-21.34449,55.47301,2000,10,31,   23.32
-21.34449,55.47301,2000,11,1,   22.63
-21.34449,55.47301,2000,11,2,   22.75
-21.34449,55.47301,2000,11,3,   22.43
-21.34449,55.47301,2000,11,4,   22.84
-21.34449,55.47301,2000,11,5,   22.73
-21.34449,55.47301,2000,11,6,   22.89
-21.34449,55.47301,2000,11,7,   23.04
-21.34449,55.47301,2000,11,8,   22.47
-21.34449,55.47301,2000,11,9,   22.21
-21.34449,55.47301,2000,11,10,   23.16
-21.34449,55.47301,2000,11,11,   23.41
-21.34449,55.47301,2000,11,12,   23.01
-21.34449,55.47301,2000,11,13,   22.78
-21.34449,55.47301,2000,11,14,   22.65
-21.34449,55.47301,2000,11,15,   22.82
-21.34449,55.47301,2000,11,16,   23.28
-21.34449,55.47301,2000,11,17,   23.04
-21.34449,55.47301,2000,11,18,   23.35
-21.34449,55.47301,2000,11,19,   23.42
-21.34449,55.47301,2000,11,20,   22.76
-21.34449,55.47301,2000,11,21,   22.55
-21.34449,55.47301,2000,11,22,   23.33
-21.34449,55.47301,2000,11,23,   23.40
-21.34449,55.47301,2000,11,24,   23.80
-21.34449,55.47301,2000,11,25,   24.29
-21.34449,55.47301,2000,11,26,   24.13
-21.34449,55.47301,2000,11,27,   23.96
-21.34449,55.47301,2000,11,28,   24.03
-21.34449,55.47301,2000,11,29,   24.03
-21.34449,55.47301,2000,11,30,   24.49
-21.34449,55.47301,2000,12,1,   24.48
-21.34449,55.47301,2000,12,2,   24.27
-21.34449,55.47301,2000,12,3,   24.76
-21.34449,55.47301,2000,12,4,   24.80
-21.34449,55.47301,2000,12,5,   24.68
-21.34449,55.47301,2000,12,6,   24.72
-21.34449,55.47301,2000,12,7,   24.45
-21.34449,55.47301,2000,12,8,   24.51
